delta(mm) h R(mm) rho mu E V_bc(mm/s) delta_std V_bc_std
1.7063093701351686 7.67 7.5 0.0011 141.7762114 77835.17918 918.2205128804104 0.0530395941554421 14.574355305682788
1.5268066516420054 7.67 7.5 0.0011 141.7762114 77835.17918 755.2667156237859 0.0577565337299025 29.03778110044543
1.1847365116410644 7.67 7.5 0.0011 141.7762114 77835.17918 495.8536873506408 0.0596441318195142 29.50908125536783
7.125401929260451 7.67 8.0 0.0078 141.7762114 77835.17918 3098.692032208617 0.0664177208352819 0.3013141497126185
6.040801457194901 7.67 8.0 0.0078 141.7762114 77835.17918 2196.0749596919336 0.1283076451944916 3.015200071880619
4.902742989530743 7.67 8.0 0.0078 141.7762114 77835.17918 1469.187275634756 0.073210940431668 1.4001192763609156
4.432833739979087 7.67 8.0 0.0078 141.7762114 77835.17918 1266.6957785677885 0.049243838240772 2.8132081943445506
3.741015715887219 7.67 8.0 0.0078 141.7762114 77835.17918 948.9415701066338 0.0754490796710412 3.7080985643850015
3.320102474576512 7.67 8.0 0.0078 141.7762114 77835.17918 788.1980708574216 0.0965832069156833 2.924841739105277
2.9153749436955025 7.67 8.0 0.0078 141.7762114 77835.17918 596.0118865864115 0.0346239977943587 2.810268108417698
2.7529202815140805 7.67 8.0 0.0078 141.7762114 77835.17918 511.1555440075096 0.0344086449556054 1.5096818911566456
2.393186376408308 7.67 8.0 0.0078 141.7762114 77835.17918 385.9826280426538 0.1231762880205631 3.7069192524721033
4.988772517804775 7.67 4.0 0.0078 141.7762114 77835.17918 3069.521858816777 0.0413700565119318 7.85890108536337
4.03234185169669 7.67 4.0 0.0078 141.7762114 77835.17918 2190.024417229257 0.0441222582145529 7.473701701808651
2.987012987012988 7.67 4.0 0.0078 141.7762114 77835.17918 1496.3328979772175 0.0519480519480508 1.4276138269089018
2.767167473049826 7.67 4.0 0.0078 141.7762114 77835.17918 1294.426592555364 0.0374307490380972 3.475230237766396
2.3782153330540425 7.67 4.0 0.0078 141.7762114 77835.17918 1006.660051933803 0.0767512526601313 3.292657399884396
2.0819997207093976 7.67 4.0 0.0078 141.7762114 77835.17918 816.3407815044302 0.0332216188535591 3.4163120127466367
1.5653679653679646 7.67 4.0 0.0078 141.7762114 77835.17918 562.7817262755062 0.0169661627205771 1.3580500932445136
1.4117647058823544 7.67 4.0 0.0078 141.7762114 77835.17918 464.702413974938 0.0330695703024143 0.5655211008118045
